Artist,Total Streams,Average Monthly Streams,Average Weekly Streams
Surfaces,114178179,38059393,8782936
ROSALÍA,136132793,45377597,10471753
Rauw Alejandro,323661920,107887306,24897070
Dímelo Flow,18038400,6012800,1387569
Jason Derulo,90092561,30030853,6930197
DJ Khaled,262229959,87409986,20171535
Machine Gun Kelly,52966695,17655565,4074361
Black Eyed Peas,227278889,75759629,17482991
Sleepy Hallow,10979298,3659766,844561
BANNERS,29587902,9862634,2275992
Avicii,13260822,4420274,1020063
Luciano,4803071,1601023,369467
Feid,51482800,17160933,3960215
Selena Gomez,4322088,1440696,332468
6ix9ine,138416326,46138775,10647409
Jason Mraz,31129678,10376559,2394590
Damso,10195777,3398592,784290
DripReport,26853769,8951256,2065674
Robin Schulz,48165281,16055093,3705021
Tyla Yaweh,11271938,3757312,867072
salem ilese,25153628,8384542,1934894
Lady Gaga,330270277,110090092,25405405
One Direction,14591453,4863817,1122419
Trueno,90900652,30300217,6992357
Nio Garcia,197042772,65680924,15157136
Kid Cudi,13821822,4607274,1063217
Matuê,4938139,1646046,379856
BTS,201169247,67056415,15474557
Roddy Ricch,161362252,53787417,12412480
MEDUZA,74979159,24993053,5767627
Post Malone,358518114,119506038,27578316
Camilo,150021206,50007068,11540092
Peach Tree Rascals,62095675,20698558,4776590
Daddy Yankee,13216842,4405614,1016680
Jawsh 685,389776757,129925585,29982827
Red Velvet - IRENE & SEULGI,5030481,1676827,386960
Doja Cat,211284121,70428040,16252624
24kGoldn,191373492,63791164,14721037
BLACKPINK,272395640,90798546,20953510
Khalid,4374392,1458130,336491
Maroon 5,174331165,58110388,13410089
DaBaby,417311610,139103870,32100893
J. Cole,15770823,5256941,1213140
Ozuna,261253463,87084487,20096420
Sech,208503276,69501092,16038713
Don Toliver,89380152,29793384,6875396
Y2K,14028222,4676074,1079094
Tate McRae,115927601,38642533,8917507
Aya Nakamura,158456994,52818998,12188999
John Legend,63181069,21060356,4860082
Maluma,277245021,92415007,21326540
